Expansion Reference,Hatchery,Release Site,Migr. Year,Hatch. Release,Total PIT Release,PIT Release RAL,RAL Expansion,Row,PTAGIS RelSite,Random
2017SELWY11,Clearwater Hat.,Selway,2017,"483,895","17,073","11,951",40.1,140,SELWY1,1
2017CLEARC1,Clearwater Hat.,Clear Cr ,2017,"768,234","9,584","6,709",114.1,141,CLEARC,1
2017CLWHNF1,Clearwater Hat.,NF Clearwater,2017,"389,115","17,067","11,947",32.1,142,CLWHNF,1
2017SAWT1,Sawtooth,Weir,2017,"1,112,295","21,293","14,905",74.2,143,SAWT,1
2017PAHP1,Pahsimeroi,Ponds,2017,"1,230,458","21,368","14,958",81.8,144,PAHP,1
2017KOOS1,Kooskia ,Clear Cr,2017,"628,907","7,910","5,537",113.2,145,KOOS,1
2017YANKFK1,Sawtooth,Yankee Fork,2017,"188,280","2,490","1,743",107.6,146,YANKFK,1
2018KNOXB1,McCall (Seg),SFSR-Knox,2018,"966,210","25,680","17,976",53.3,147,KNOXB,1
2018KNOXB91,McCall (Int),SFSR-Knox,2018,"155,893","25,071","17,550",8.5,148,KNOXB,91
2018RAPH1,Rapid River,Rapid R. Hat,2018,"2,497,088","51,902","36,331",68.3,149,RAPH,1
2018DWORNF1,Dworshak,NF-DHFH,2018,"1,645,125","39,875","27,913",58.5,150,DWORNF,1
2018POWP1,Clearwater Hat.,Powell (summers),2018,"673,181","25,415","17,791",37.4,151,POWP,1
2018REDP1,Clearwater Hat.,Red,2018,"1,276,194","17,077","11,954",106.3,152,REDP,1
2018SELWY11,Clearwater Hat.,Selway,2018,"451,416","17,072","11,950",37.3,153,SELWY1,1
2018CLEARC1,Clearwater Hat.,Clear Cr ,2018,"818,037","8,689","6,082",134.1,154,CLEARC,1
2018CLWHNF1,Clearwater Hat.,NF Clearwater,2018,"544,153","17,069","11,948",45.1,155,CLWHNF,1
2018SAWT1,Sawtooth,Weir,2018,"1,934,882","18,880","13,216",146.0,156,SAWT,1
2018PAHP1,Pahsimeroi,Ponds,2018,"990,412","21,221","14,855",66.2,157,PAHP,1
2018KOOS1,Kooskia ,Clear Cr,2018,"358,958","7,418","5,193",68.7,158,KOOS,1
2018YANKFK1,Sawtooth,Yankee Fork,2018,"272,798","2,473","1,731",157.2,159,YANKFK,1
2019KNOXB1,McCall (Seg),SFSR-Knox,2019,"947,076","25,876","18,113",51.9,160,KNOXB,1
2019KNOXB91,McCall (Int),SFSR-Knox,2019,"159,911","25,808","18,066",8.4,161,KNOXB,91
2019RAPH1,Rapid River,Rapid R. Hat,2019,"2,504,018","51,428","36,000",69.1,162,RAPH,1
2019DWORNF1,Dworshak,NF-DHFH,2019,"1,716,951","41,945","29,362",58.0,163,DWORNF,1
2019POWP1,Clearwater Hat.,Powell (summers),2019,"624,403","25,389","17,772",34.7,164,POWP,1
2019REDP1,Clearwater Hat.,Red,2019,"606,686","8,461","5,923",102.0,165,REDP,1
2019SELWY11,Clearwater Hat.,Selway,2019,"402,570","17,029","11,920",33.3,166,SELWY1,1
